"","country","year","regions","classification_context","freedom_dim_index_context","equality_dim_index_context","control_dim_index_context"
"1","Albania",2005,"Europe","Deficient Democracy",0.589823856297603,0.69104059941185,0.635240864015499
"2","Albania",2006,"Europe","Deficient Democracy",0.589651417827082,0.686170577660915,0.626360180097606
"3","Albania",2007,"Europe","Deficient Democracy",0.591184104835058,0.689645800752383,0.622549893272325
"4","Albania",2008,"Europe","Deficient Democracy",0.590077638946437,0.688454657015768,0.620401236635738
"5","Albania",2009,"Europe","Deficient Democracy",0.595903989604506,0.687251274165786,0.623313206010837
"6","Albania",2010,"Europe","Deficient Democracy",0.598063833611553,0.684428027246787,0.623624904718351
"7","Albania",2011,"Europe","Deficient Democracy",0.598063833611553,0.684428027246787,0.623624904718351
"8","Albania",2012,"Europe","Deficient Democracy",0.597839736948027,0.684683629410974,0.624090781722726
"9","Albania",2013,"Europe","Deficient Democracy",0.578303355134643,0.626736603460599,0.578071395815437
"10","Albania",2014,"Europe","Deficient Democracy",0.577460789896577,0.636023426435432,0.594666283629681
"11","Albania",2015,"Europe","Deficient Democracy",0.577467469199702,0.636673688368139,0.599407635986027
"12","Albania",2016,"Europe","Deficient Democracy",0.577467469199702,0.638125977478419,0.596902195968788
"13","Albania",2017,"Europe","Deficient Democracy",0.605626872163354,0.622392671818813,0.581416818012185
"14","Albania",2018,"Europe","Deficient Democracy",0.584629988258406,0.615993117021325,0.562146892071882
"15","Argentina",1917,"Latin America","Deficient Democracy",0.603930488693559,0.563437836417168,0.689263457801425
"16","Argentina",1918,"Latin America","Deficient Democracy",0.619356522054219,0.565328688241691,0.690478210599901
"17","Argentina",1919,"Latin America","Deficient Democracy",0.610769622508217,0.565367165376177,0.690478210599901
"18","Argentina",1920,"Latin America","Deficient Democracy",0.619249797172908,0.565511733837453,0.690458293263357
"19","Argentina",1921,"Latin America","Deficient Democracy",0.648410486302852,0.565511733837453,0.690458293263357
"20","Argentina",1922,"Latin America","Deficient Democracy",0.65327882773616,0.569410806658831,0.685737472446523
"21","Argentina",1923,"Latin America","Deficient Democracy",0.654958645797724,0.569410806658831,0.685737472446523
"22","Argentina",1924,"Latin America","Deficient Democracy",0.654528426586031,0.568285910870352,0.685540864136597
"23","Argentina",1925,"Latin America","Deficient Democracy",0.654528426586031,0.568285910870352,0.685711785068106
"24","Argentina",1926,"Latin America","Deficient Democracy",0.653597520846794,0.569510684272216,0.685423924215977
"25","Argentina",1927,"Latin America","Deficient Democracy",0.653597520846794,0.569510684272216,0.685423924215977
"26","Argentina",1984,"Latin America","Deficient Democracy",0.756442952723756,0.821673655810806,0.71885047302374
"27","Argentina",1985,"Latin America","Deficient Democracy",0.756899995969126,0.820688406380479,0.718569530879998
"28","Argentina",1986,"Latin America","Deficient Democracy",0.757054422836805,0.82495301616608,0.718569530879998
"29","Argentina",1987,"Latin America","Deficient Democracy",0.753729844966821,0.821717454800426,0.725056057362776
"30","Argentina",1988,"Latin America","Deficient Democracy",0.753729844966821,0.821717454800426,0.725056057362776
